period,用户名称,负荷编号,第1段申报量(MW),第1段报价(元/MWh)
41,一号工业园区,L1,320.5,500.000
41,二号商业综合体,L2,377.0,380.000
41,三号居民小区,L3,245.0,280.000
42,一号工业园区,L1,313.6,500.000
42,二号商业综合体,L2,368.9,380.000
42,三号居民小区,L3,239.7,280.000
43,一号工业园区,L1,307.5,500.000
43,二号商业综合体,L2,361.8,380.000
43,三号居民小区,L3,235.0,280.000
44,一号工业园区,L1,302.4,500.000
44,二号商业综合体,L2,355.8,380.000
44,三号居民小区,L3,231.2,280.000
45,一号工业园区,L1,298.4,500.000
45,二号商业综合体,L2,351.0,380.000
45,三号居民小区,L3,228.1,280.000
46,一号工业园区,L1,295.2,500.000
46,二号商业综合体,L2,347.3,380.000
46,三号居民小区,L3,225.6,280.000
47,一号工业园区,L1,292.8,500.000
47,二号商业综合体,L2,344.5,380.000
47,三号居民小区,L3,223.8,280.000
48,一号工业园区,L1,291.1,500.000
48,二号商业综合体,L2,342.5,380.000
48,三号居民小区,L3,222.5,280.000
49,一号工业园区,L1,290.0,500.000
49,二号商业综合体,L2,341.2,380.000
49,三号居民小区,L3,221.7,280.000
50,一号工业园区,L1,289.2,500.000
50,二号商业综合体,L2,340.3,380.000
50,三号居民小区,L3,221.1,280.000
51,一号工业园区,L1,288.8,500.000
51,二号商业综合体,L2,339.8,380.000
51,三号居民小区,L3,220.8,280.000
52,一号工业园区,L1,288.6,500.000
52,二号商业综合体,L2,339.6,380.000
52,三号居民小区,L3,220.6,280.000
53,一号工业园区,L1,288.6,500.000
53,二号商业综合体,L2,339.6,380.000
53,三号居民小区,L3,220.6,280.000
54,一号工业园区,L1,288.8,500.000
54,二号商业综合体,L2,339.8,380.000
54,三号居民小区,L3,220.7,280.000
55,一号工业园区,L1,289.2,500.000
55,二号商业综合体,L2,340.2,380.000
55,三号居民小区,L3,221.0,280.000
56,一号工业园区,L1,289.8,500.000
56,二号商业综合体,L2,341.0,380.000
56,三号居民小区,L3,221.5,280.000
57,一号工业园区,L1,290.8,500.000
57,二号商业综合体,L2,342.1,380.000
57,三号居民小区,L3,222.3,280.000
58,一号工业园区,L1,292.2,500.000
58,二号商业综合体,L2,343.7,380.000
58,三号居民小区,L3,223.3,280.000
59,一号工业园区,L1,294.1,500.000
59,二号商业综合体,L2,346.0,380.000
59,三号居民小区,L3,224.8,280.000
60,一号工业园区,L1,296.6,500.000
60,二号商业综合体,L2,348.9,380.000
60,三号居民小区,L3,226.7,280.000
61,一号工业园区,L1,299.9,500.000
61,二号商业综合体,L2,352.8,380.000
61,三号居民小区,L3,229.2,280.000
62,一号工业园区,L1,304.0,500.000
62,二号商业综合体,L2,357.6,380.000
62,三号居民小区,L3,232.3,280.000
63,一号工业园区,L1,308.9,500.000
63,二号商业综合体,L2,363.4,380.000
63,三号居民小区,L3,236.1,280.000
64,一号工业园区,L1,314.7,500.000
64,二号商业综合体,L2,370.3,380.000
64,三号居民小区,L3,240.6,280.000
65,一号工业园区,L1,321.4,500.000
65,二号商业综合体,L2,378.1,380.000
65,三号居民小区,L3,245.6,280.000
66,一号工业园区,L1,328.8,500.000
66,二号商业综合体,L2,386.8,380.000
66,三号居民小区,L3,251.3,280.000
67,一号工业园区,L1,336.7,500.000
67,二号商业综合体,L2,396.1,380.000
67,三号居民小区,L3,257.4,280.000
68,一号工业园区,L1,345.0,500.000
68,二号商业综合体,L2,405.8,380.000
68,三号居民小区,L3,263.7,280.000
69,一号工业园区,L1,353.3,500.000
69,二号商业综合体,L2,415.6,380.000
69,三号居民小区,L3,270.1,280.000
70,一号工业园区,L1,361.4,500.000
70,二号商业综合体,L2,425.2,380.000
70,三号居民小区,L3,276.2,280.000
71,一号工业园区,L1,368.9,500.000
71,二号商业综合体,L2,434.0,380.000
71,三号居民小区,L3,282.0,280.000
72,一号工业园区,L1,375.4,500.000
72,二号商业综合体,L2,441.7,380.000
72,三号居民小区,L3,287.0,280.000
73,一号工业园区,L1,380.6,500.000
73,二号商业综合体,L2,447.8,380.000
73,三号居民小区,L3,291.0,280.000
74,一号工业园区,L1,384.3,500.000
74,二号商业综合体,L2,452.1,380.000
74,三号居民小区,L3,293.8,280.000
75,一号工业园区,L1,386.2,500.000
75,二号商业综合体,L2,454.4,380.000
75,三号居民小区,L3,295.2,280.000
76,一号工业园区,L1,386.2,500.000
76,二号商业综合体,L2,454.3,380.000
76,三号居民小区,L3,295.2,280.000
77,一号工业园区,L1,384.1,500.000
77,二号商业综合体,L2,451.9,380.000
77,三号居民小区,L3,293.6,280.000
78,一号工业园区,L1,380.2,500.000
78,二号商业综合体,L2,447.3,380.000
78,三号居民小区,L3,290.6,280.000
79,一号工业园区,L1,374.5,500.000
79,二号商业综合体,L2,440.5,380.000
79,三号居民小区,L3,286.2,280.000
80,一号工业园区,L1,367.1,500.000
80,二号商业综合体,L2,431.9,380.000
80,三号居民小区,L3,280.6,280.000
81,一号工业园区,L1,358.4,500.000
81,二号商业综合体,L2,421.7,380.000
81,三号居民小区,L3,274.0,280.000
82,一号工业园区,L1,348.8,500.000
82,二号商业综合体,L2,410.4,380.000
82,三号居民小区,L3,266.7,280.000
83,一号工业园区,L1,338.6,500.000
83,二号商业综合体,L2,398.4,380.000
83,三号居民小区,L3,258.8,280.000
84,一号工业园区,L1,328.1,500.000
84,二号商业综合体,L2,386.0,380.000
84,三号居民小区,L3,250.8,280.000
85,一号工业园区,L1,317.6,500.000
85,二号商业综合体,L2,373.7,380.000
85,三号居民小区,L3,242.8,280.000
86,一号工业园区,L1,307.5,500.000
86,二号商业综合体,L2,361.8,380.000
86,三号居民小区,L3,235.1,280.000
87,一号工业园区,L1,298.0,500.000
87,二号商业综合体,L2,350.6,380.000
87,三号居民小区,L3,227.8,280.000
88,一号工业园区,L1,289.2,500.000
88,二号商业综合体,L2,340.2,380.000
88,三号居民小区,L3,221.1,280.000
89,一号工业园区,L1,281.3,500.000
89,二号商业综合体,L2,331.0,380.000
89,三号居民小区,L3,215.0,280.000
90,一号工业园区,L1,274.4,500.000
90,二号商业综合体,L2,322.8,380.000
90,三号居民小区,L3,209.7,280.000
91,一号工业园区,L1,268.4,500.000
91,二号商业综合体,L2,315.8,380.000
91,三号居民小区,L3,205.2,280.000
92,一号工业园区,L1,263.3,500.000
92,二号商业综合体,L2,309.8,380.000
92,三号居民小区,L3,201.3,280.000
93,一号工业园区,L1,259.1,500.000
93,二号商业综合体,L2,304.8,380.000
93,三号居民小区,L3,198.1,280.000
94,一号工业园区,L1,255.7,500.000
94,二号商业综合体,L2,300.8,380.000
94,三号居民小区,L3,195.5,280.000
95,一号工业园区,L1,253.0,500.000
95,二号商业综合体,L2,297.6,380.000
95,三号居民小区,L3,193.4,280.000
96,一号工业园区,L1,250.8,500.000
96,二号商业综合体,L2,295.1,380.000
96,三号居民小区,L3,191.7,280.000
