period,电厂名称,机组编号,第1段出力(MW),第1段报价(元/MWh),第2段出力(MW),第2段报价(元/MWh),第3段出力(MW),第3段报价(元/MWh)
16,龙潭电厂,#1机组,100.0,190.000,0.0,240.000,,
16,龙潭电厂,#2机组,0.0,230.000,,,,
16,龙潭电厂,#3机组,0.0,260.000,,,,
17,金陵电厂,#1机组,150.0,150.000,90.0,180.000,0.0,220.000
17,金陵电厂,#2机组,120.0,170.000,118.8,210.000,,
17,龙潭电厂,#1机组,100.0,190.000,0.0,240.000,,
17,龙潭电厂,#2机组,0.0,230.000,,,,
17,龙潭电厂,#3机组,0.0,260.000,,,,
18,金陵电厂,#1机组,150.0,150.000,90.0,180.000,0.0,220.000
18,金陵电厂,#2机组,120.0,170.000,129.8,210.000,,
18,龙潭电厂,#1机组,100.0,190.000,0.0,240.000,,
18,龙潭电厂,#2机组,0.0,230.000,,,,
18,龙潭电厂,#3机组,0.0,260.000,,,,
19,金陵电厂,#1机组,150.0,150.000,90.0,180.000,13.5,220.000
19,金陵电厂,#2机组,120.0,170.000,130.0,210.000,,
19,龙潭电厂,#1机组,100.0,190.000,0.0,240.000,,
19,龙潭电厂,#2机组,0.0,230.000,,,,
19,龙潭电厂,#3机组,0.0,260.000,,,,
20,金陵电厂,#1机组,150.0,150.000,90.0,180.000,29.7,220.000
20,金陵电厂,#2机组,120.0,170.000,130.0,210.000,,
20,龙潭电厂,#1机组,100.0,190.000,0.0,240.000,,
20,龙潭电厂,#2机组,0.0,230.000,,,,
20,龙潭电厂,#3机组,0.0,260.000,,,,
21,金陵电厂,#1机组,150.0,150.000,90.0,180.000,48.7,220.000
21,金陵电厂,#2机组,120.0,170.000,130.0,210.000,,
21,龙潭电厂,#1机组,100.0,190.000,0.0,240.000,,
21,龙潭电厂,#2机组,0.0,230.000,,,,
21,龙潭电厂,#3机组,0.0,260.000,,,,
22,金陵电厂,#1机组,150.0,150.000,90.0,180.000,70.2,220.000
22,金陵电厂,#2机组,120.0,170.000,130.0,210.000,,
22,龙潭电厂,#1机组,100.0,190.000,0.0,240.000,,
22,龙潭电厂,#2机组,0.0,230.000,,,,
22,龙潭电厂,#3机组,0.0,260.000,,,,
23,金陵电厂,#1机组,150.0,150.000,90.0,180.000,90.0,220.000
23,金陵电厂,#2机组,120.0,170.000,130.0,210.000,,
23,龙潭电厂,#1机组,100.0,190.000,0.0,240.000,,
23,龙潭电厂,#2机组,4.2,230.000,,,,
23,龙潭电厂,#3机组,0.0,260.000,,,,
24,金陵电厂,#1机组,150.0,150.000,90.0,180.000,90.0,220.000
24,金陵电厂,#2机组,120.0,170.000,130.0,210.000,,
24,龙潭电厂,#1机组,100.0,190.000,0.0,240.000,,
24,龙潭电厂,#2机组,29.8,230.000,,,,
24,龙潭电厂,#3机组,0.0,260.000,,,,
25,金陵电厂,#1机组,150.0,150.000,90.0,180.000,90.0,220.000
25,金陵电厂,#2机组,120.0,170.000,130.0,210.000,,
25,龙潭电厂,#1机组,100.0,190.000,0.0,240.000,,
25,龙潭电厂,#2机组,56.6,230.000,,,,
25,龙潭电厂,#3机组,0.0,260.000,,,,
26,金陵电厂,#1机组,150.0,150.000,90.0,180.000,90.0,220.000
26,金陵电厂,#2机组,120.0,170.000,130.0,210.000,,
26,龙潭电厂,#1机组,100.0,190.000,0.0,240.000,,
26,龙潭电厂,#2机组,83.7,230.000,,,,
26,龙潭电厂,#3机组,0.0,260.000,,,,
27,金陵电厂,#1机组,150.0,150.000,90.0,180.000,90.0,220.000
27,金陵电厂,#2机组,120.0,170.000,130.0,210.000,,
27,龙潭电厂,#1机组,100.0,190.000,0.0,240.000,,
27,龙潭电厂,#2机组,109.9,230.000,,,,
27,龙潭电厂,#3机组,0.0,260.000,,,,
28,金陵电厂,#1机组,150.0,150.000,90.0,180.000,90.0,220.000
28,金陵电厂,#2机组,120.0,170.000,130.0,210.000,,
28,龙潭电厂,#1机组,100.0,190.000,24.2,240.000,,
28,龙潭电厂,#2机组,110.0,230.000,,,,
28,龙潭电厂,#3机组,0.0,260.000,,,,
29,金陵电厂,#1机组,150.0,150.000,90.0,180.000,90.0,220.000
29,金陵电厂,#2机组,120.0,170.000,130.0,210.000,,
29,龙潭电厂,#1机组,100.0,190.000,45.4,240.000,,
29,龙潭电厂,#2机组,110.0,230.000,,,,
29,龙潭电厂,#3机组,0.0,260.000,,,,
30,金陵电厂,#1机组,150.0,150.000,90.0,180.000,90.0,220.000
30,金陵电厂,#2机组,120.0,170.000,130.0,210.000,,
30,龙潭电厂,#1机组,100.0,190.000,62.3,240.000,,
30,龙潭电厂,#2机组,110.0,230.000,,,,
30,龙潭电厂,#3机组,0.0,260.000,,,,
31,金陵电厂,#1机组,150.0,150.000,90.0,180.000,90.0,220.000
31,金陵电厂,#2机组,120.0,170.000,130.0,210.000,,
31,龙潭电厂,#1机组,100.0,190.000,74.5,240.000,,
31,龙潭电厂,#2机组,110.0,230.000,,,,
31,龙潭电厂,#3机组,0.0,260.000,,,,
32,金陵电厂,#1机组,150.0,150.000,90.0,180.000,90.0,220.000
32,金陵电厂,#2机组,120.0,170.000,130.0,210.000,,
32,龙潭电厂,#1机组,100.0,190.000,80.0,240.000,,
32,龙潭电厂,#2机组,110.0,230.000,,,,
32,龙潭电厂,#3机组,1.1,260.000,,,,
33,金陵电厂,#1机组,150.0,150.000,90.0,180.000,90.0,220.000
33,金陵电厂,#2机组,120.0,170.000,130.0,210.000,,
33,龙潭电厂,#1机组,100.0,190.000,80.0,240.000,,
33,龙潭电厂,#2机组,110.0,230.000,,,,
33,龙潭电厂,#3机组,2.2,260.000,,,,
34,金陵电厂,#1机组,150.0,150.000,90.0,180.000,90.0,220.000
34,金陵电厂,#2机组,120.0,170.000,130.0,210.000,,
34,龙潭电厂,#1机组,100.0,190.000,77.7,240.000,,
34,龙潭电厂,#2机组,110.0,230.000,,,,
34,龙潭电厂,#3机组,0.0,260.000,,,,
35,金陵电厂,#1机组,150.0,150.000,90.0,180.000,90.0,220.000
35,金陵电厂,#2机组,120.0,170.000,130.0,210.000,,
35,龙潭电厂,#1机组,100.0,190.000,68.5,240.000,,
35,龙潭电厂,#2机组,110.0,230.000,,,,
35,龙潭电厂,#3机组,0.0,260.000,,,,
36,金陵电厂,#1机组,150.0,150.000,90.0,180.000,90.0,220.000
36,金陵电厂,#2机组,120.0,170.000,130.0,210.000,,
36,龙潭电厂,#1机组,100.0,190.000,55.1,240.000,,
36,龙潭电厂,#2机组,110.0,230.000,,,,
36,龙潭电厂,#3机组,0.0,260.000,,,,
37,金陵电厂,#1机组,150.0,150.000,90.0,180.000,90.0,220.000
37,金陵电厂,#2机组,120.0,170.000,130.0,210.000,,
37,龙潭电厂,#1机组,100.0,190.000,38.6,240.000,,
37,龙潭电厂,#2机组,110.0,230.000,,,,
37,龙潭电厂,#3机组,0.0,260.000,,,,
38,金陵电厂,#1机组,150.0,150.000,90.0,180.000,90.0,220.000
38,金陵电厂,#2机组,120.0,170.000,130.0,210.000,,
38,龙潭电厂,#1机组,100.0,190.000,20.2,240.000,,
38,龙潭电厂,#2机组,110.0,230.000,,,,
38,龙潭电厂,#3机组,0.0,260.000,,,,
39,金陵电厂,#1机组,150.0,150.000,90.0,180.000,90.0,220.000
39,金陵电厂,#2机组,120.0,170.000,130.0,210.000,,
39,龙潭电厂,#1机组,100.0,190.000,1.0,240.000,,
39,龙潭电厂,#2机组,110.0,230.000,,,,
39,龙潭电厂,#3机组,0.0,260.000,,,,
40,金陵电厂,#1机组,150.0,150.000,90.0,180.000,90.0,220.000
40,金陵电厂,#2机组,120.0,170.000,130.0,210.000,,
40,龙潭电厂,#1机组,100.0,190.000,0.0,240.000,,
40,龙潭电厂,#2机组,91.9,230.000,,,,
40,龙潭电厂,#3机组,0.0,260.000,,,,
41,金陵电厂,#1机组,150.0,150.000,90.0,180.000,90.0,220.000
41,金陵电厂,#2机组,120.0,170.000,130.0,210.000,,
41,龙潭电厂,#1机组,100.0,190.000,0.0,240.000,,
41,龙潭电厂,#2机组,74.0,230.000,,,,
41,龙潭电厂,#3机组,0.0,260.000,,,,
42,金陵电厂,#1机组,150.0,150.000,90.0,180.000,90.0,220.000
42,金陵电厂,#2机组,120.0,170.000,130.0,210.000,,
42,龙潭电厂,#1机组,100.0,190.000,0.0,240.000,,
42,龙潭电厂,#2机组,57.8,230.000,,,,
42,龙潭电厂,#3机组,0.0,260.000,,,,
43,金陵电厂,#1机组,150.0,150.000,90.0,180.000,90.0,220.000
43,金陵电厂,#2机组,120.0,170.000,130.0,210.000,,
43,龙潭电厂,#1机组,100.0,190.000,0.0,240.000,,
43,龙潭电厂,#2机组,43.4,230.000,,,,
43,龙潭电厂,#3机组,0.0,260.000,,,,
44,金陵电厂,#1机组,150.0,150.000,90.0,180.000,90.0,220.000
44,金陵电厂,#2机组,120.0,170.000,130.0,210.000,,
44,龙潭电厂,#1机组,100.0,190.000,0.0,240.000,,
44,龙潭电厂,#2机组,31.5,230.000,,,,
44,龙潭电厂,#3机组,0.0,260.000,,,,
45,金陵电厂,#1机组,150.0,150.000,90.0,180.000,90.0,220.000
45,金陵电厂,#2机组,120.0,170.000,130.0,210.000,,
45,龙潭电厂,#1机组,100.0,190.000,0.0,240.000,,
45,龙潭电厂,#2机组,22.0,230.000,,,,
45,龙潭电厂,#3机组,0.0,260.000,,,,
46,金陵电厂,#1机组,150.0,150.000,90.0,180.000,90.0,220.000
46,金陵电厂,#2机组,120.0,170.000,130.0,210.000,,
46,龙潭电厂,#1机组,100.0,190.000,0.0,240.000,,
46,龙潭电厂,#2机组,14.5,230.000,,,,
46,龙潭电厂,#3机组,0.0,260.000,,,,
47,金陵电厂,#1机组,150.0,150.000,90.0,180.000,90.0,220.000
47,金陵电厂,#2机组,120.0,170.000,130.0,210.000,,
47,龙潭电厂,#1机组,100.0,190.000,0.0,240.000,,
47,龙潭电厂,#2机组,8.9,230.000,,,,
47,龙潭电厂,#3机组,0.0,260.000,,,,
48,金陵电厂,#1机组,150.0,150.000,90.0,180.000,90.0,220.000
48,金陵电厂,#2机组,120.0,170.000,130.0,210.000,,
48,龙潭电厂,#1机组,100.0,190.000,0.0,240.000,,
48,龙潭电厂,#2机组,4.9,230.000,,,,
48,龙潭电厂,#3机组,0.0,260.000,,,,
49,金陵电厂,#1机组,150.0,150.000,90.0,180.000,90.0,220.000
49,金陵电厂,#2机组,120.0,170.000,130.0,210.000,,
49,龙潭电厂,#1机组,100.0,190.000,0.0,240.000,,
49,龙潭电厂,#2机组,2.3,230.000,,,,
49,龙潭电厂,#3机组,0.0,260.000,,,,
50,金陵电厂,#1机组,150.0,150.000,90.0,180.000,90.0,220.000
50,金陵电厂,#2机组,120.0,170.000,130.0,210.000,,
50,龙潭电厂,#1机组,100.0,190.000,0.0,240.000,,
50,龙潭电厂,#2机组,0.5,230.000,,,,
50,龙潭电厂,#3机组,0.0,260.000,,,,
51,金陵电厂,#1机组,150.0,150.000,90.0,180.000,89.5,220.000
51,金陵电厂,#2机组,120.0,170.000,130.0,210.000,,
51,龙潭电厂,#1机组,100.0,190.000,0.0,240.000,,
51,龙潭电厂,#2机组,0.0,230.000,,,,
51,龙潭电厂,#3机组,0.0,260.000,,,,
52,金陵电厂,#1机组,150.0,150.000,90.0,180.000,89.0,220.000
52,金陵电厂,#2机组,120.0,170.000,130.0,210.000,,
52,龙潭电厂,#1机组,100.0,190.000,0.0,240.000,,
52,龙潭电厂,#2机组,0.0,230.000,,,,
52,龙潭电厂,#3机组,0.0,260.000,,,,
53,金陵电厂,#1机组,150.0,150.000,90.0,180.000,89.0,220.000
53,金陵电厂,#2机组,120.0,170.000,130.0,210.000,,
53,龙潭电厂,#1机组,100.0,190.000,0.0,240.000,,
53,龙潭电厂,#2机组,0.0,230.000,,,,
53,龙潭电厂,#3机组,0.0,260.000,,,,
54,金陵电厂,#1机组,150.0,150.000,90.0,180.000,89.4,220.000
54,金陵电厂,#2机组,120.0,170.000,130.0,210.000,,
54,龙潭电厂,#1机组,100.0,190.000,0.0,240.000,,
54,龙潭电厂,#2机组,0.0,230.000,,,,
54,龙潭电厂,#3机组,0.0,260.000,,,,
55,金陵电厂,#1机组,150.0,150.000,90.0,180.000,90.0,220.000
55,金陵电厂,#2机组,120.0,170.000,130.0,210.000,,
55,龙潭电厂,#1机组,100.0,190.000,0.0,240.000,,
55,龙潭电厂,#2机组,0.3,230.000,,,,
55,龙潭电厂,#3机组,0.0,260.000,,,,
56,金陵电厂,#1机组,150.0,150.000,90.0,180.000,90.0,220.000
56,金陵电厂,#2机组,120.0,170.000,130.0,210.000,,
56,龙潭电厂,#1机组,100.0,190.000,0.0,240.000,,
56,龙潭电厂,#2机组,1.8,230.000,,,,
56,龙潭电厂,#3机组,0.0,260.000,,,,
57,金陵电厂,#1机组,150.0,150.000,90.0,180.000,90.0,220.000
57,金陵电厂,#2机组,120.0,170.000,130.0,210.000,,
57,龙潭电厂,#1机组,100.0,190.000,0.0,240.000,,
57,龙潭电厂,#2机组,4.2,230.000,,,,
57,龙潭电厂,#3机组,0.0,260.000,,,,
58,金陵电厂,#1机组,150.0,150.000,90.0,180.000,90.0,220.000
58,金陵电厂,#2机组,120.0,170.000,130.0,210.000,,
58,龙潭电厂,#1机组,100.0,190.000,0.0,240.000,,
58,龙潭电厂,#2机组,7.4,230.000,,,,
58,龙潭电厂,#3机组,0.0,260.000,,,,
59,金陵电厂,#1机组,150.0,150.000,90.0,180.000,90.0,220.000
59,金陵电厂,#2机组,120.0,170.000,130.0,210.000,,
59,龙潭电厂,#1机组,100.0,190.000,0.0,240.000,,
59,龙潭电厂,#2机组,11.9,230.000,,,,
59,龙潭电厂,#3机组,0.0,260.000,,,,
60,金陵电厂,#1机组,150.0,150.000,90.0,180.000,90.0,220.000
60,金陵电厂,#2机组,120.0,170.000,130.0,210.000,,
60,龙潭电厂,#1机组,100.0,190.000,0.0,240.000,,
60,龙潭电厂,#2机组,17.8,230.000,,,,
60,龙潭电厂,#3机组,0.0,260.000,,,,
61,金陵电厂,#1机组,150.0,150.000,90.0,180.000,90.0,220.000
61,金陵电厂,#2机组,120.0,170.000,130.0,210.000,,
61,龙潭电厂,#1机组,100.0,190.000,0.0,240.000,,
61,龙潭电厂,#2机组,25.5,230.000,,,,
61,龙潭电厂,#3机组,0.0,260.000,,,,
62,金陵电厂,#1机组,150.0,150.000,90.0,180.000,90.0,220.000
62,金陵电厂,#2机组,120.0,170.000,130.0,210.000,,
62,龙潭电厂,#1机组,100.0,190.000,0.0,240.000,,
62,龙潭电厂,#2机组,35.1,230.000,,,,
62,龙潭电厂,#3机组,0.0,260.000,,,,
63,金陵电厂,#1机组,150.0,150.000,90.0,180.000,90.0,220.000
63,金陵电厂,#2机组,120.0,170.000,130.0,210.000,,
63,龙潭电厂,#1机组,100.0,190.000,0.0,240.000,,
63,龙潭电厂,#2机组,46.7,230.000,,,,
63,龙潭电厂,#3机组,0.0,260.000,,,,
64,金陵电厂,#1机组,150.0,150.000,90.0,180.000,90.0,220.000
64,金陵电厂,#2机组,120.0,170.000,130.0,210.000,,
64,龙潭电厂,#1机组,100.0,190.000,0.0,240.000,,
64,龙潭电厂,#2机组,60.5,230.000,,,,
64,龙潭电厂,#3机组,0.0,260.000,,,,
65,金陵电厂,#1机组,150.0,150.000,90.0,180.000,90.0,220.000
65,金陵电厂,#2机组,120.0,170.000,130.0,210.000,,
65,龙潭电厂,#1机组,100.0,190.000,0.0,240.000,,
65,龙潭电厂,#2机组,76.1,230.000,,,,
65,龙潭电厂,#3机组,0.0,260.000,,,,
66,金陵电厂,#1机组,150.0,150.000,90.0,180.000,90.0,220.000
66,金陵电厂,#2机组,120.0,170.000,130.0,210.000,,
66,龙潭电厂,#1机组,100.0,190.000,0.0,240.000,,
66,龙潭电厂,#2机组,93.5,230.000,,,,
66,龙潭电厂,#3机组,0.0,260.000,,,,
67,金陵电厂,#1机组,150.0,150.000,90.0,180.000,90.0,220.000
67,金陵电厂,#2机组,120.0,170.000,130.0,210.000,,
67,龙潭电厂,#1机组,100.0,190.000,2.2,240.000,,
67,龙潭电厂,#2机组,110.0,230.000,,,,
67,龙潭电厂,#3机组,0.0,260.000,,,,
68,金陵电厂,#1机组,150.0,150.000,90.0,180.000,90.0,220.000
68,金陵电厂,#2机组,120.0,170.000,130.0,210.000,,
68,龙潭电厂,#1机组,100.0,190.000,21.6,240.000,,
68,龙潭电厂,#2机组,110.0,230.000,,,,
68,龙潭电厂,#3机组,0.0,260.000,,,,
69,金陵电厂,#1机组,150.0,150.000,90.0,180.000,90.0,220.000
69,金陵电厂,#2机组,120.0,170.000,130.0,210.000,,
69,龙潭电厂,#1机组,100.0,190.000,41.2,240.000,,
69,龙潭电厂,#2机组,110.0,230.000,,,,
69,龙潭电厂,#3机组,0.0,260.000,,,,
70,金陵电厂,#1机组,150.0,150.000,90.0,180.000,90.0,220.000
70,金陵电厂,#2机组,120.0,170.000,130.0,210.000,,
70,龙潭电厂,#1机组,100.0,190.000,60.2,240.000,,
70,龙潭电厂,#2机组,110.0,230.000,,,,
70,龙潭电厂,#3机组,0.0,260.000,,,,
71,金陵电厂,#1机组,150.0,150.000,90.0,180.000,90.0,220.000
71,金陵电厂,#2机组,120.0,170.000,130.0,210.000,,
71,龙潭电厂,#1机组,100.0,190.000,77.9,240.000,,
71,龙潭电厂,#2机组,110.0,230.000,,,,
71,龙潭电厂,#3机组,0.0,260.000,,,,
72,金陵电厂,#1机组,150.0,150.000,90.0,180.000,90.0,220.000
72,金陵电厂,#2机组,120.0,170.000,130.0,210.000,,
72,龙潭电厂,#1机组,100.0,190.000,80.0,240.000,,
72,龙潭电厂,#2机组,110.0,230.000,,,,
72,龙潭电厂,#3机组,13.3,260.000,,,,
73,金陵电厂,#1机组,150.0,150.000,90.0,180.000,90.0,220.000
73,金陵电厂,#2机组,120.0,170.000,130.0,210.000,,
73,龙潭电厂,#1机组,100.0,190.000,80.0,240.000,,
73,龙潭电厂,#2机组,110.0,230.000,,,,
73,龙潭电厂,#3机组,25.5,260.000,,,,
74,金陵电厂,#1机组,150.0,150.000,90.0,180.000,90.0,220.000
74,金陵电厂,#2机组,120.0,170.000,130.0,210.000,,
74,龙潭电厂,#1机组,100.0,190.000,80.0,240.000,,
74,龙潭电厂,#2机组,110.0,230.000,,,,
74,龙潭电厂,#3机组,34.2,260.000,,,,
75,金陵电厂,#1机组,150.0,150.000,90.0,180.000,90.0,220.000
75,金陵电厂,#2机组,120.0,170.000,130.0,210.000,,
75,龙潭电厂,#1机组,100.0,190.000,80.0,240.000,,
75,龙潭电厂,#2机组,110.0,230.000,,,,
75,龙潭电厂,#3机组,38.6,260.000,,,,
76,金陵电厂,#1机组,150.0,150.000,90.0,180.000,90.0,220.000
76,金陵电厂,#2机组,120.0,170.000,130.0,210.000,,
76,龙潭电厂,#1机组,100.0,190.000,80.0,240.000,,
76,龙潭电厂,#2机组,110.0,230.000,,,,
76,龙潭电厂,#3机组,38.6,260.000,,,,
77,金陵电厂,#1机组,150.0,150.000,90.0,180.000,90.0,220.000
77,金陵电厂,#2机组,120.0,170.000,130.0,210.000,,
77,龙潭电厂,#1机组,100.0,190.000,80.0,240.000,,
77,龙潭电厂,#2机组,110.0,230.000,,,,
77,龙潭电厂,#3机组,33.7,260.000,,,,
78,金陵电厂,#1机组,150.0,150.000,90.0,180.000,90.0,220.000
78,金陵电厂,#2机组,120.0,170.000,130.0,210.000,,
78,龙潭电厂,#1机组,100.0,190.000,80.0,240.000,,
78,龙潭电厂,#2机组,110.0,230.000,,,,
78,龙潭电厂,#3机组,24.5,260.000,,,,
79,金陵电厂,#1机组,150.0,150.000,90.0,180.000,90.0,220.000
79,金陵电厂,#2机组,120.0,170.000,130.0,210.000,,
79,龙潭电厂,#1机组,100.0,190.000,80.0,240.000,,
79,龙潭电厂,#2机组,110.0,230.000,,,,
79,龙潭电厂,#3机组,11.0,260.000,,,,
80,金陵电厂,#1机组,150.0,150.000,90.0,180.000,90.0,220.000
80,金陵电厂,#2机组,120.0,170.000,130.0,210.000,,
80,龙潭电厂,#1机组,100.0,190.000,73.7,240.000,,
80,龙潭电厂,#2机组,110.0,230.000,,,,
80,龙潭电厂,#3机组,0.0,260.000,,,,
81,金陵电厂,#1机组,150.0,150.000,90.0,180.000,90.0,220.000
81,金陵电厂,#2机组,120.0,170.000,130.0,210.000,,
81,龙潭电厂,#1机组,100.0,190.000,53.3,240.000,,
81,龙潭电厂,#2机组,110.0,230.000,,,,
81,龙潭电厂,#3机组,0.0,260.000,,,,
82,金陵电厂,#1机组,150.0,150.000,90.0,180.000,90.0,220.000
82,金陵电厂,#2机组,120.0,170.000,130.0,210.000,,
82,龙潭电厂,#1机组,100.0,190.000,30.7,240.000,,
82,龙潭电厂,#2机组,110.0,230.000,,,,
82,龙潭电厂,#3机组,0.0,260.000,,,,
83,金陵电厂,#1机组,150.0,150.000,90.0,180.000,90.0,220.000
83,金陵电厂,#2机组,120.0,170.000,130.0,210.000,,
83,龙潭电厂,#1机组,100.0,190.000,6.6,240.000,,
83,龙潭电厂,#2机组,110.0,230.000,,,,
83,龙潭电厂,#3机组,0.0,260.000,,,,
84,金陵电厂,#1机组,150.0,150.000,90.0,180.000,90.0,220.000
84,金陵电厂,#2机组,120.0,170.000,130.0,210.000,,
84,龙潭电厂,#1机组,100.0,190.000,0.0,240.000,,
84,龙潭电厂,#2机组,91.9,230.000,,,,
84,龙潭电厂,#3机组,0.0,260.000,,,,
85,金陵电厂,#1机组,150.0,150.000,90.0,180.000,90.0,220.000
85,金陵电厂,#2机组,120.0,170.000,130.0,210.000,,
85,龙潭电厂,#1机组,100.0,190.000,0.0,240.000,,
85,龙潭电厂,#2机组,67.3,230.000,,,,
85,龙潭电厂,#3机组,0.0,260.000,,,,
86,金陵电厂,#1机组,150.0,150.000,90.0,180.000,90.0,220.000
86,金陵电厂,#2机组,120.0,170.000,130.0,210.000,,
86,龙潭电厂,#1机组,100.0,190.000,0.0,240.000,,
86,龙潭电厂,#2机组,43.5,230.000,,,,
86,龙潭电厂,#3机组,0.0,260.000,,,,
87,金陵电厂,#1机组,150.0,150.000,90.0,180.000,90.0,220.000
87,金陵电厂,#2机组,120.0,170.000,130.0,210.000,,
87,龙潭电厂,#1机组,100.0,190.000,0.0,240.000,,
87,龙潭电厂,#2机组,21.1,230.000,,,,
87,龙潭电厂,#3机组,0.0,260.000,,,,
88,金陵电厂,#1机组,150.0,150.000,90.0,180.000,90.0,220.000
88,金陵电厂,#2机组,120.0,170.000,130.0,210.000,,
88,龙潭电厂,#1机组,100.0,190.000,0.0,240.000,,
88,龙潭电厂,#2机组,0.4,230.000,,,,
88,龙潭电厂,#3机组,0.0,260.000,,,,
