period,电厂名称,机组编号,机组类型,P1(MW),C1(元/MWh),P2(MW),C2(元/MWh),P3(MW),C3(元/MWh),P4(MW),C4(元/MWh),P5(MW),C5(元/MWh),P6(MW),C6(元/MWh),P7(MW),C7(元/MWh),P8(MW),C8(元/MWh),P9(MW),C9(元/MWh),P10(MW),C10(元/MWh)
10,江北电厂,G2,火电,101.2,200.6,73.6,270.6,50.6,345.6,,,,,,,,,,,,,,
10,沿海风电场,W1,风电,68.3,0.0,,,,,,,,,,,,,,,,,,
10,城郊光伏站,S1,光伏,0.0,0.0,,,,,,,,,,,,,,,,,,
11,金陵电厂,G1,火电,120.0,180.6,90.0,250.6,60.0,325.6,,,,,,,,,,,,,,
11,江北电厂,G2,火电,101.2,200.6,73.6,270.6,50.6,345.6,,,,,,,,,,,,,,
11,沿海风电场,W1,风电,67.6,0.0,,,,,,,,,,,,,,,,,,
11,城郊光伏站,S1,光伏,0.0,0.0,,,,,,,,,,,,,,,,,,
12,金陵电厂,G1,火电,120.0,180.5,90.0,250.5,60.0,325.5,,,,,,,,,,,,,,
12,江北电厂,G2,火电,101.2,200.5,73.6,270.5,50.6,345.5,,,,,,,,,,,,,,
12,沿海风电场,W1,风电,66.7,0.0,,,,,,,,,,,,,,,,,,
12,城郊光伏站,S1,光伏,0.0,0.0,,,,,,,,,,,,,,,,,,
13,金陵电厂,G1,火电,120.0,180.5,90.0,250.5,60.0,325.5,,,,,,,,,,,,,,
13,江北电厂,G2,火电,101.2,200.5,73.6,270.5,50.6,345.5,,,,,,,,,,,,,,
13,沿海风电场,W1,风电,65.8,0.0,,,,,,,,,,,,,,,,,,
13,城郊光伏站,S1,光伏,0.0,0.0,,,,,,,,,,,,,,,,,,
14,金陵电厂,G1,火电,120.0,180.6,90.0,250.6,60.0,325.6,,,,,,,,,,,,,,
14,江北电厂,G2,火电,101.2,200.6,73.6,270.6,50.6,345.6,,,,,,,,,,,,,,
14,沿海风电场,W1,风电,64.8,0.0,,,,,,,,,,,,,,,,,,
14,城郊光伏站,S1,光伏,0.0,0.0,,,,,,,,,,,,,,,,,,
15,金陵电厂,G1,火电,120.0,180.7,90.0,250.7,60.0,325.7,,,,,,,,,,,,,,
15,江北电厂,G2,火电,101.2,200.7,73.6,270.7,50.6,345.7,,,,,,,,,,,,,,
15,沿海风电场,W1,风电,63.8,0.0,,,,,,,,,,,,,,,,,,
15,城郊光伏站,S1,光伏,0.0,0.0,,,,,,,,,,,,,,,,,,
16,金陵电厂,G1,火电,120.0,180.8,90.0,250.8,60.0,325.8,,,,,,,,,,,,,,
16,江北电厂,G2,火电,101.2,200.8,73.6,270.8,50.6,345.8,,,,,,,,,,,,,,
16,沿海风电场,W1,风电,63.0,0.0,,,,,,,,,,,,,,,,,,
16,城郊光伏站,S1,光伏,0.0,0.0,,,,,,,,,,,,,,,,,,
17,金陵电厂,G1,火电,120.0,180.9,90.0,250.9,60.0,325.9,,,,,,,,,,,,,,
17,江北电厂,G2,火电,101.2,200.9,73.6,270.9,50.6,345.9,,,,,,,,,,,,,,
17,沿海风电场,W1,风电,62.3,0.0,,,,,,,,,,,,,,,,,,
17,城郊光伏站,S1,光伏,0.0,0.0,,,,,,,,,,,,,,,,,,
18,金陵电厂,G1,火电,120.0,181.1,90.0,251.1,60.0,326.1,,,,,,,,,,,,,,
18,江北电厂,G2,火电,101.2,201.1,73.6,271.1,50.6,346.1,,,,,,,,,,,,,,
18,沿海风电场,W1,风电,61.9,0.0,,,,,,,,,,,,,,,,,,
18,城郊光伏站,S1,光伏,0.0,0.0,,,,,,,,,,,,,,,,,,
19,金陵电厂,G1,火电,120.0,181.4,90.0,251.4,60.0,326.4,,,,,,,,,,,,,,
19,江北电厂,G2,火电,101.2,201.4,73.6,271.4,50.6,346.4,,,,,,,,,,,,,,
19,沿海风电场,W1,风电,61.7,0.0,,,,,,,,,,,,,,,,,,
19,城郊光伏站,S1,光伏,0.0,0.0,,,,,,,,,,,,,,,,,,
20,金陵电厂,G1,火电,120.0,181.7,90.0,251.7,60.0,326.7,,,,,,,,,,,,,,
20,江北电厂,G2,火电,101.2,201.7,73.6,271.7,50.6,346.7,,,,,,,,,,,,,,
20,沿海风电场,W1,风电,61.9,0.0,,,,,,,,,,,,,,,,,,
20,城郊光伏站,S1,光伏,0.0,0.0,,,,,,,,,,,,,,,,,,
21,金陵电厂,G1,火电,120.0,181.9,90.0,251.9,60.0,326.9,,,,,,,,,,,,,,
21,江北电厂,G2,火电,101.2,201.9,73.6,271.9,50.6,346.9,,,,,,,,,,,,,,
21,沿海风电场,W1,风电,62.3,0.0,,,,,,,,,,,,,,,,,,
21,城郊光伏站,S1,光伏,0.0,0.0,,,,,,,,,,,,,,,,,,
22,金陵电厂,G1,火电,120.0,182.4,90.0,252.4,60.0,327.4,,,,,,,,,,,,,,
22,江北电厂,G2,火电,101.2,202.4,73.6,272.4,50.6,347.4,,,,,,,,,,,,,,
22,沿海风电场,W1,风电,63.0,0.0,,,,,,,,,,,,,,,,,,
22,城郊光伏站,S1,光伏,0.0,0.0,,,,,,,,,,,,,,,,,,
23,金陵电厂,G1,火电,120.0,182.8,90.0,252.8,60.0,327.8,,,,,,,,,,,,,,
23,江北电厂,G2,火电,101.2,202.8,73.6,272.8,50.6,347.8,,,,,,,,,,,,,,
23,沿海风电场,W1,风电,63.8,0.0,,,,,,,,,,,,,,,,,,
23,城郊光伏站,S1,光伏,0.0,0.0,,,,,,,,,,,,,,,,,,
24,金陵电厂,G1,火电,120.0,183.3,90.0,253.3,60.0,328.3,,,,,,,,,,,,,,
24,江北电厂,G2,火电,101.2,203.3,73.6,273.3,50.6,348.3,,,,,,,,,,,,,,
24,沿海风电场,W1,风电,64.8,0.0,,,,,,,,,,,,,,,,,,
24,城郊光伏站,S1,光伏,0.0,0.0,,,,,,,,,,,,,,,,,,
25,金陵电厂,G1,火电,120.0,183.7,90.0,253.7,60.0,328.7,,,,,,,,,,,,,,
25,江北电厂,G2,火电,101.2,203.7,73.6,273.7,50.6,348.7,,,,,,,,,,,,,,
25,沿海风电场,W1,风电,65.8,0.0,,,,,,,,,,,,,,,,,,
25,城郊光伏站,S1,光伏,0.0,0.0,,,,,,,,,,,,,,,,,,
26,金陵电厂,G1,火电,120.0,184.2,90.0,254.2,60.0,329.2,,,,,,,,,,,,,,
26,江北电厂,G2,火电,101.2,204.2,73.6,274.2,50.6,349.2,,,,,,,,,,,,,,
26,沿海风电场,W1,风电,66.7,0.0,,,,,,,,,,,,,,,,,,
26,城郊光伏站,S1,光伏,7.8,0.0,,,,,,,,,,,,,,,,,,
27,金陵电厂,G1,火电,120.0,184.6,90.0,254.6,60.0,329.6,,,,,,,,,,,,,,
27,江北电厂,G2,火电,101.2,204.6,73.6,274.6,50.6,349.6,,,,,,,,,,,,,,
27,沿海风电场,W1,风电,67.6,0.0,,,,,,,,,,,,,,,,,,
27,城郊光伏站,S1,光伏,15.7,0.0,,,,,,,,,,,,,,,,,,
28,金陵电厂,G1,火电,120.0,185.1,90.0,255.1,60.0,330.1,,,,,,,,,,,,,,
28,江北电厂,G2,火电,101.2,205.1,73.6,275.1,50.6,350.1,,,,,,,,,,,,,,
28,沿海风电场,W1,风电,68.3,0.0,,,,,,,,,,,,,,,,,,
28,城郊光伏站,S1,光伏,23.4,0.0,,,,,,,,,,,,,,,,,,
29,金陵电厂,G1,火电,120.0,185.5,90.0,255.5,60.0,330.5,,,,,,,,,,,,,,
29,江北电厂,G2,火电,101.2,205.5,73.6,275.5,50.6,350.5,,,,,,,,,,,,,,
29,沿海风电场,W1,风电,68.7,0.0,,,,,,,,,,,,,,,,,,
29,城郊光伏站,S1,光伏,31.1,0.0,,,,,,,,,,,,,,,,,,
30,金陵电厂,G1,火电,120.0,185.8,90.0,255.8,60.0,330.8,,,,,,,,,,,,,,
30,江北电厂,G2,火电,101.2,205.8,73.6,275.8,50.6,350.8,,,,,,,,,,,,,,
30,沿海风电场,W1,风电,68.7,0.0,,,,,,,,,,,,,,,,,,
30,城郊光伏站,S1,光伏,38.6,0.0,,,,,,,,,,,,,,,,,,
31,金陵电厂,G1,火电,120.0,186.1,90.0,256.1,60.0,331.1,,,,,,,,,,,,,,
31,江北电厂,G2,火电,101.2,206.1,73.6,276.1,50.6,351.1,,,,,,,,,,,,,,
31,沿海风电场,W1,风电,68.5,0.0,,,,,,,,,,,,,,,,,,
31,城郊光伏站,S1,光伏,45.9,0.0,,,,,,,,,,,,,,,,,,
32,金陵电厂,G1,火电,120.0,186.3,90.0,256.3,60.0,331.3,,,,,,,,,,,,,,
32,江北电厂,G2,火电,101.2,206.3,73.6,276.3,50.6,351.3,,,,,,,,,,,,,,
32,沿海风电场,W1,风电,67.9,0.0,,,,,,,,,,,,,,,,,,
32,城郊光伏站,S1,光伏,53.1,0.0,,,,,,,,,,,,,,,,,,
33,金陵电厂,G1,火电,120.0,186.6,90.0,256.6,60.0,331.6,,,,,,,,,,,,,,
33,江北电厂,G2,火电,101.2,206.6,73.6,276.6,50.6,351.6,,,,,,,,,,,,,,
33,沿海风电场,W1,风电,66.9,0.0,,,,,,,,,,,,,,,,,,
33,城郊光伏站,S1,光伏,60.0,0.0,,,,,,,,,,,,,,,,,,
34,金陵电厂,G1,火电,120.0,186.8,90.0,256.8,60.0,331.8,,,,,,,,,,,,,,
34,江北电厂,G2,火电,101.2,206.8,73.6,276.8,50.6,351.8,,,,,,,,,,,,,,
34,沿海风电场,W1,风电,65.6,0.0,,,,,,,,,,,,,,,,,,
34,城郊光伏站,S1,光伏,66.7,0.0,,,,,,,,,,,,,,,,,,
35,金陵电厂,G1,火电,120.0,186.9,90.0,256.9,60.0,331.9,,,,,,,,,,,,,,
35,江北电厂,G2,火电,101.2,206.9,73.6,276.9,50.6,351.9,,,,,,,,,,,,,,
35,沿海风电场,W1,风电,64.1,0.0,,,,,,,,,,,,,,,,,,
35,城郊光伏站,S1,光伏,73.1,0.0,,,,,,,,,,,,,,,,,,
36,金陵电厂,G1,火电,120.0,187.0,90.0,257.0,60.0,332.0,,,,,,,,,,,,,,
36,江北电厂,G2,火电,101.2,207.0,73.6,277.0,50.6,352.0,,,,,,,,,,,,,,
36,沿海风电场,W1,风电,62.4,0.0,,,,,,,,,,,,,,,,,,
36,城郊光伏站,S1,光伏,79.1,0.0,,,,,,,,,,,,,,,,,,
37,金陵电厂,G1,火电,120.0,187.2,90.0,257.2,60.0,332.2,,,,,,,,,,,,,,
37,江北电厂,G2,火电,101.2,207.2,73.6,277.2,50.6,352.2,,,,,,,,,,,,,,
37,沿海风电场,W1,风电,60.6,0.0,,,,,,,,,,,,,,,,,,
37,城郊光伏站,S1,光伏,84.9,0.0,,,,,,,,,,,,,,,,,,
38,金陵电厂,G1,火电,120.0,187.1,90.0,257.1,60.0,332.1,,,,,,,,,,,,,,
38,江北电厂,G2,火电,101.2,207.1,73.6,277.1,50.6,352.1,,,,,,,,,,,,,,
38,沿海风电场,W1,风电,58.8,0.0,,,,,,,,,,,,,,,,,,
38,城郊光伏站,S1,光伏,90.2,0.0,,,,,,,,,,,,,,,,,,
39,金陵电厂,G1,火电,120.0,187.0,90.0,257.0,60.0,332.0,,,,,,,,,,,,,,
39,江北电厂,G2,火电,101.2,207.0,73.6,277.0,50.6,352.0,,,,,,,,,,,,,,
39,沿海风电场,W1,风电,57.1,0.0,,,,,,,,,,,,,,,,,,
39,城郊光伏站,S1,光伏,95.2,0.0,,,,,,,,,,,,,,,,,,
40,金陵电厂,G1,火电,120.0,186.9,90.0,256.9,60.0,331.9,,,,,,,,,,,,,,
40,江北电厂,G2,火电,101.2,206.9,73.6,276.9,50.6,351.9,,,,,,,,,,,,,,
40,沿海风电场,W1,风电,55.5,0.0,,,,,,,,,,,,,,,,,,
40,城郊光伏站,S1,光伏,99.8,0.0,,,,,,,,,,,,,,,,,,
41,金陵电厂,G1,火电,120.0,186.8,90.0,256.8,60.0,331.8,,,,,,,,,,,,,,
41,江北电厂,G2,火电,101.2,206.8,73.6,276.8,50.6,351.8,,,,,,,,,,,,,,
41,沿海风电场,W1,风电,54.1,0.0,,,,,,,,,,,,,,,,,,
41,城郊光伏站,S1,光伏,103.9,0.0,,,,,,,,,,,,,,,,,,
42,金陵电厂,G1,火电,120.0,186.7,90.0,256.7,60.0,331.7,,,,,,,,,,,,,,
42,江北电厂,G2,火电,101.2,206.7,73.6,276.7,50.6,351.7,,,,,,,,,,,,,,
42,沿海风电场,W1,风电,53.0,0.0,,,,,,,,,,,,,,,,,,
42,城郊光伏站,S1,光伏,107.6,0.0,,,,,,,,,,,,,,,,,,
43,金陵电厂,G1,火电,120.0,186.6,90.0,256.6,60.0,331.6,,,,,,,,,,,,,,
43,江北电厂,G2,火电,101.2,206.6,73.6,276.6,50.6,351.6,,,,,,,,,,,,,,
43,沿海风电场,W1,风电,52.2,0.0,,,,,,,,,,,,,,,,,,
43,城郊光伏站,S1,光伏,110.9,0.0,,,,,,,,,,,,,,,,,,
44,金陵电厂,G1,火电,120.0,186.5,90.0,256.5,60.0,331.5,,,,,,,,,,,,,,
44,江北电厂,G2,火电,101.2,206.5,73.6,276.5,50.6,351.5,,,,,,,,,,,,,,
44,沿海风电场,W1,风电,51.8,0.0,,,,,,,,,,,,,,,,,,
44,城郊光伏站,S1,光伏,113.6,0.0,,,,,,,,,,,,,,,,,,
45,金陵电厂,G1,火电,120.0,186.4,90.0,256.4,60.0,331.4,,,,,,,,,,,,,,
45,江北电厂,G2,火电,101.2,206.4,73.6,276.4,50.6,351.4,,,,,,,,,,,,,,
45,沿海风电场,W1,风电,51.6,0.0,,,,,,,,,,,,,,,,,,
45,城郊光伏站,S1,光伏,115.9,0.0,,,,,,,,,,,,,,,,,,
46,金陵电厂,G1,火电,120.0,186.4,90.0,256.4,60.0,331.4,,,,,,,,,,,,,,
46,江北电厂,G2,火电,101.2,206.4,73.6,276.4,50.6,351.4,,,,,,,,,,,,,,
46,沿海风电场,W1,风电,51.8,0.0,,,,,,,,,,,,,,,,,,
46,城郊光伏站,S1,光伏,117.7,0.0,,,,,,,,,,,,,,,,,,
47,金陵电厂,G1,火电,120.0,186.3,90.0,256.3,60.0,331.3,,,,,,,,,,,,,,
47,江北电厂,G2,火电,101.2,206.3,73.6,276.3,50.6,351.3,,,,,,,,,,,,,,
47,沿海风电场,W1,风电,52.2,0.0,,,,,,,,,,,,,,,,,,
47,城郊光伏站,S1,光伏,119.0,0.0,,,,,,,,,,,,,,,,,,
48,金陵电厂,G1,火电,120.0,186.2,90.0,256.2,60.0,331.2,,,,,,,,,,,,,,
48,江北电厂,G2,火电,101.2,206.2,73.6,276.2,50.6,351.2,,,,,,,,,,,,,,
48,沿海风电场,W1,风电,52.7,0.0,,,,,,,,,,,,,,,,,,
48,城郊光伏站,S1,光伏,119.7,0.0,,,,,,,,,,,,,,,,,,
49,金陵电厂,G1,火电,120.0,186.1,90.0,256.1,60.0,331.1,,,,,,,,,,,,,,
49,江北电厂,G2,火电,101.2,206.1,73.6,276.1,50.6,351.1,,,,,,,,,,,,,,
49,沿海风电场,W1,风电,53.4,0.0,,,,,,,,,,,,,,,,,,
49,城郊光伏站,S1,光伏,120.0,0.0,,,,,,,,,,,,,,,,,,
50,金陵电厂,G1,火电,120.0,186.0,90.0,256.0,60.0,331.0,,,,,,,,,,,,,,
50,江北电厂,G2,火电,101.2,206.0,73.6,276.0,50.6,351.0,,,,,,,,,,,,,,
50,沿海风电场,W1,风电,54.0,0.0,,,,,,,,,,,,,,,,,,
50,城郊光伏站,S1,光伏,119.7,0.0,,,,,,,,,,,,,,,,,,
51,金陵电厂,G1,火电,120.0,186.0,90.0,256.0,60.0,331.0,,,,,,,,,,,,,,
51,江北电厂,G2,火电,101.2,206.0,73.6,276.0,50.6,351.0,,,,,,,,,,,,,,
51,沿海风电场,W1,风电,54.6,0.0,,,,,,,,,,,,,,,,,,
51,城郊光伏站,S1,光伏,119.0,0.0,,,,,,,,,,,,,,,,,,
52,金陵电厂,G1,火电,120.0,185.9,90.0,255.9,60.0,330.9,,,,,,,,,,,,,,
52,江北电厂,G2,火电,101.2,205.9,73.6,275.9,50.6,350.9,,,,,,,,,,,,,,
52,沿海风电场,W1,风电,55.1,0.0,,,,,,,,,,,,,,,,,,
52,城郊光伏站,S1,光伏,117.7,0.0,,,,,,,,,,,,,,,,,,
53,金陵电厂,G1,火电,120.0,185.9,90.0,255.9,60.0,330.9,,,,,,,,,,,,,,
53,江北电厂,G2,火电,101.2,205.9,73.6,275.9,50.6,350.9,,,,,,,,,,,,,,
53,沿海风电场,W1,风电,55.3,0.0,,,,,,,,,,,,,,,,,,
53,城郊光伏站,S1,光伏,115.9,0.0,,,,,,,,,,,,,,,,,,
54,金陵电厂,G1,火电,120.0,186.0,90.0,256.0,60.0,331.0,,,,,,,,,,,,,,
54,江北电厂,G2,火电,101.2,206.0,73.6,276.0,50.6,351.0,,,,,,,,,,,,,,
54,沿海风电场,W1,风电,55.3,0.0,,,,,,,,,,,,,,,,,,
54,城郊光伏站,S1,光伏,113.6,0.0,,,,,,,,,,,,,,,,,,
55,金陵电厂,G1,火电,120.0,186.1,90.0,256.1,60.0,331.1,,,,,,,,,,,,,,
55,江北电厂,G2,火电,101.2,206.1,73.6,276.1,50.6,351.1,,,,,,,,,,,,,,
55,沿海风电场,W1,风电,55.0,0.0,,,,,,,,,,,,,,,,,,
55,城郊光伏站,S1,光伏,110.9,0.0,,,,,,,,,,,,,,,,,,
56,金陵电厂,G1,火电,120.0,186.2,90.0,256.2,60.0,331.2,,,,,,,,,,,,,,
56,江北电厂,G2,火电,101.2,206.2,73.6,276.2,50.6,351.2,,,,,,,,,,,,,,
56,沿海风电场,W1,风电,54.4,0.0,,,,,,,,,,,,,,,,,,
56,城郊光伏站,S1,光伏,107.6,0.0,,,,,,,,,,,,,,,,,,
57,金陵电厂,G1,火电,120.0,186.3,90.0,256.3,60.0,331.3,,,,,,,,,,,,,,
57,江北电厂,G2,火电,101.2,206.3,73.6,276.3,50.6,351.3,,,,,,,,,,,,,,
57,沿海风电场,W1,风电,53.6,0.0,,,,,,,,,,,,,,,,,,
57,城郊光伏站,S1,光伏,103.9,0.0,,,,,,,,,,,,,,,,,,
58,金陵电厂,G1,火电,120.0,186.4,90.0,256.4,60.0,331.4,,,,,,,,,,,,,,
58,江北电厂,G2,火电,101.2,206.4,73.6,276.4,50.6,351.4,,,,,,,,,,,,,,
58,沿海风电场,W1,风电,52.5,0.0,,,,,,,,,,,,,,,,,,
58,城郊光伏站,S1,光伏,99.8,0.0,,,,,,,,,,,,,,,,,,
59,金陵电厂,G1,火电,120.0,186.5,90.0,256.5,60.0,331.5,,,,,,,,,,,,,,
59,江北电厂,G2,火电,101.2,206.5,73.6,276.5,50.6,351.5,,,,,,,,,,,,,,
59,沿海风电场,W1,风电,51.1,0.0,,,,,,,,,,,,,,,,,,
59,城郊光伏站,S1,光伏,95.2,0.0,,,,,,,,,,,,,,,,,,
60,金陵电厂,G1,火电,120.0,186.7,90.0,256.7,60.0,331.7,,,,,,,,,,,,,,
60,江北电厂,G2,火电,101.2,206.7,73.6,276.7,50.6,351.7,,,,,,,,,,,,,,
60,沿海风电场,W1,风电,49.7,0.0,,,,,,,,,,,,,,,,,,
60,城郊光伏站,S1,光伏,90.2,0.0,,,,,,,,,,,,,,,,,,
61,金陵电厂,G1,火电,120.0,186.8,90.0,256.8,60.0,331.8,,,,,,,,,,,,,,
61,江北电厂,G2,火电,101.2,206.8,73.6,276.8,50.6,351.8,,,,,,,,,,,,,,
61,沿海风电场,W1,风电,48.2,0.0,,,,,,,,,,,,,,,,,,
61,城郊光伏站,S1,光伏,84.9,0.0,,,,,,,,,,,,,,,,,,
62,金陵电厂,G1,火电,120.0,187.0,90.0,257.0,60.0,332.0,,,,,,,,,,,,,,
62,江北电厂,G2,火电,101.2,207.0,73.6,277.0,50.6,352.0,,,,,,,,,,,,,,
62,沿海风电场,W1,风电,46.8,0.0,,,,,,,,,,,,,,,,,,
62,城郊光伏站,S1,光伏,79.1,0.0,,,,,,,,,,,,,,,,,,
63,金陵电厂,G1,火电,120.0,187.2,90.0,257.2,60.0,332.2,,,,,,,,,,,,,,
63,江北电厂,G2,火电,101.2,207.2,73.6,277.2,50.6,352.2,,,,,,,,,,,,,,
63,沿海风电场,W1,风电,45.4,0.0,,,,,,,,,,,,,,,,,,
63,城郊光伏站,S1,光伏,73.1,0.0,,,,,,,,,,,,,,,,,,
64,金陵电厂,G1,火电,120.0,187.5,90.0,257.5,60.0,332.5,,,,,,,,,,,,,,
64,江北电厂,G2,火电,101.2,207.5,73.6,277.5,50.6,352.5,,,,,,,,,,,,,,
64,沿海风电场,W1,风电,44.3,0.0,,,,,,,,,,,,,,,,,,
64,城郊光伏站,S1,光伏,66.7,0.0,,,,,,,,,,,,,,,,,,
65,金陵电厂,G1,火电,120.0,187.7,90.0,257.7,60.0,332.7,,,,,,,,,,,,,,
65,江北电厂,G2,火电,101.2,207.7,73.6,277.7,50.6,352.7,,,,,,,,,,,,,,
65,沿海风电场,W1,风电,43.5,0.0,,,,,,,,,,,,,,,,,,
65,城郊光伏站,S1,光伏,60.0,0.0,,,,,,,,,,,,,,,,,,
66,金陵电厂,G1,火电,120.0,188.1,90.0,258.1,60.0,333.1,,,,,,,,,,,,,,
66,江北电厂,G2,火电,101.2,208.1,73.6,278.1,50.6,353.1,,,,,,,,,,,,,,
66,沿海风电场,W1,风电,42.9,0.0,,,,,,,,,,,,,,,,,,
66,城郊光伏站,S1,光伏,53.1,0.0,,,,,,,,,,,,,,,,,,
67,金陵电厂,G1,火电,120.0,188.4,90.0,258.4,60.0,333.4,,,,,,,,,,,,,,
67,江北电厂,G2,火电,101.2,208.4,73.6,278.4,50.6,353.4,,,,,,,,,,,,,,
67,沿海风电场,W1,风电,42.8,0.0,,,,,,,,,,,,,,,,,,
67,城郊光伏站,S1,光伏,45.9,0.0,,,,,,,,,,,,,,,,,,
68,金陵电厂,G1,火电,120.0,188.8,90.0,258.8,60.0,333.8,,,,,,,,,,,,,,
68,江北电厂,G2,火电,101.2,208.8,73.6,278.8,50.6,353.8,,,,,,,,,,,,,,
68,沿海风电场,W1,风电,42.9,0.0,,,,,,,,,,,,,,,,,,
68,城郊光伏站,S1,光伏,38.6,0.0,,,,,,,,,,,,,,,,,,
69,金陵电厂,G1,火电,120.0,189.1,90.0,259.1,60.0,334.1,,,,,,,,,,,,,,
69,江北电厂,G2,火电,101.2,209.1,73.6,279.1,50.6,354.1,,,,,,,,,,,,,,
69,沿海风电场,W1,风电,43.5,0.0,,,,,,,,,,,,,,,,,,
69,城郊光伏站,S1,光伏,31.1,0.0,,,,,,,,,,,,,,,,,,
70,金陵电厂,G1,火电,120.0,189.3,90.0,259.3,60.0,334.3,,,,,,,,,,,,,,
70,江北电厂,G2,火电,101.2,209.3,73.6,279.3,50.6,354.3,,,,,,,,,,,,,,
70,沿海风电场,W1,风电,44.3,0.0,,,,,,,,,,,,,,,,,,
70,城郊光伏站,S1,光伏,23.4,0.0,,,,,,,,,,,,,,,,,,
71,金陵电厂,G1,火电,120.0,189.5,90.0,259.5,60.0,334.5,,,,,,,,,,,,,,
71,江北电厂,G2,火电,101.2,209.5,73.6,279.5,50.6,354.5,,,,,,,,,,,,,,
71,沿海风电场,W1,风电,45.4,0.0,,,,,,,,,,,,,,,,,,
71,城郊光伏站,S1,光伏,15.7,0.0,,,,,,,,,,,,,,,,,,
72,金陵电厂,G1,火电,120.0,189.7,90.0,259.7,60.0,334.7,,,,,,,,,,,,,,
72,江北电厂,G2,火电,101.2,209.7,73.6,279.7,50.6,354.7,,,,,,,,,,,,,,
72,沿海风电场,W1,风电,46.8,0.0,,,,,,,,,,,,,,,,,,
72,城郊光伏站,S1,光伏,7.8,0.0,,,,,,,,,,,,,,,,,,
73,金陵电厂,G1,火电,120.0,189.9,90.0,259.9,60.0,334.9,,,,,,,,,,,,,,
