period,电厂名称,机组编号,机组类型,P1(MW),C1(元/MWh),P2(MW),C2(元/MWh),P3(MW),C3(元/MWh),P4(MW),C4(元/MWh),P5(MW),C5(元/MWh),P6(MW),C6(元/MWh),P7(MW),C7(元/MWh),P8(MW),C8(元/MWh),P9(MW),C9(元/MWh),P10(MW),C10(元/MWh)
10,江北电厂,G2,火电,101.2,207.2,73.6,277.2,50.6,352.2,,,,,,,,,,,,,,
10,沿海风电场,W1,风电,60.6,0.0,,,,,,,,,,,,,,,,,,
10,城郊光伏站,S1,光伏,84.9,0.0,,,,,,,,,,,,,,,,,,
11,金陵电厂,G1,火电,120.0,186.8,90.0,256.8,60.0,331.8,,,,,,,,,,,,,,
11,江北电厂,G2,火电,101.2,206.8,73.6,276.8,50.6,351.8,,,,,,,,,,,,,,
11,沿海风电场,W1,风电,54.1,0.0,,,,,,,,,,,,,,,,,,
11,城郊光伏站,S1,光伏,103.9,0.0,,,,,,,,,,,,,,,,,,
12,金陵电厂,G1,火电,120.0,186.4,90.0,256.4,60.0,331.4,,,,,,,,,,,,,,
12,江北电厂,G2,火电,101.2,206.4,73.6,276.4,50.6,351.4,,,,,,,,,,,,,,
12,沿海风电场,W1,风电,51.6,0.0,,,,,,,,,,,,,,,,,,
12,城郊光伏站,S1,光伏,115.9,0.0,,,,,,,,,,,,,,,,,,
13,金陵电厂,G1,火电,120.0,186.1,90.0,256.1,60.0,331.1,,,,,,,,,,,,,,
13,江北电厂,G2,火电,101.2,206.1,73.6,276.1,50.6,351.1,,,,,,,,,,,,,,
13,沿海风电场,W1,风电,53.4,0.0,,,,,,,,,,,,,,,,,,
13,城郊光伏站,S1,光伏,120.0,0.0,,,,,,,,,,,,,,,,,,
14,金陵电厂,G1,火电,120.0,185.9,90.0,255.9,60.0,330.9,,,,,,,,,,,,,,
14,江北电厂,G2,火电,101.2,205.9,73.6,275.9,50.6,350.9,,,,,,,,,,,,,,
14,沿海风电场,W1,风电,55.3,0.0,,,,,,,,,,,,,,,,,,
14,城郊光伏站,S1,光伏,115.9,0.0,,,,,,,,,,,,,,,,,,
15,金陵电厂,G1,火电,120.0,186.3,90.0,256.3,60.0,331.3,,,,,,,,,,,,,,
15,江北电厂,G2,火电,101.2,206.3,73.6,276.3,50.6,351.3,,,,,,,,,,,,,,
15,沿海风电场,W1,风电,53.6,0.0,,,,,,,,,,,,,,,,,,
15,城郊光伏站,S1,光伏,103.9,0.0,,,,,,,,,,,,,,,,,,
16,金陵电厂,G1,火电,120.0,186.8,90.0,256.8,60.0,331.8,,,,,,,,,,,,,,
16,江北电厂,G2,火电,101.2,206.8,73.6,276.8,50.6,351.8,,,,,,,,,,,,,,
16,沿海风电场,W1,风电,48.2,0.0,,,,,,,,,,,,,,,,,,
16,城郊光伏站,S1,光伏,84.9,0.0,,,,,,,,,,,,,,,,,,
17,金陵电厂,G1,火电,120.0,187.7,90.0,257.7,60.0,332.7,,,,,,,,,,,,,,
17,江北电厂,G2,火电,101.2,207.7,73.6,277.7,50.6,352.7,,,,,,,,,,,,,,
17,沿海风电场,W1,风电,43.5,0.0,,,,,,,,,,,,,,,,,,
17,城郊光伏站,S1,光伏,60.0,0.0,,,,,,,,,,,,,,,,,,
18,金陵电厂,G1,火电,120.0,189.1,90.0,259.1,60.0,334.1,,,,,,,,,,,,,,
18,江北电厂,G2,火电,101.2,209.1,73.6,279.1,50.6,354.1,,,,,,,,,,,,,,
18,沿海风电场,W1,风电,43.5,0.0,,,,,,,,,,,,,,,,,,
18,城郊光伏站,S1,光伏,31.1,0.0,,,,,,,,,,,,,,,,,,
19,金陵电厂,G1,火电,120.0,189.9,90.0,259.9,60.0,334.9,,,,,,,,,,,,,,
19,江北电厂,G2,火电,101.2,209.9,73.6,279.9,50.6,354.9,,,,,,,,,,,,,,
19,沿海风电场,W1,风电,48.2,0.0,,,,,,,,,,,,,,,,,,
19,城郊光伏站,S1,光伏,0.0,0.0,,,,,,,,,,,,,,,,,,
20,金陵电厂,G1,火电,120.0,189.5,90.0,259.5,60.0,334.5,,,,,,,,,,,,,,
20,江北电厂,G2,火电,101.2,209.5,73.6,279.5,50.6,354.5,,,,,,,,,,,,,,
20,沿海风电场,W1,风电,53.6,0.0,,,,,,,,,,,,,,,,,,
20,城郊光伏站,S1,光伏,0.0,0.0,,,,,,,,,,,,,,,,,,
21,金陵电厂,G1,火电,120.0,188.4,90.0,258.4,60.0,333.4,,,,,,,,,,,,,,
21,江北电厂,G2,火电,101.2,208.4,73.6,278.4,50.6,353.4,,,,,,,,,,,,,,
21,沿海风电场,W1,风电,55.3,0.0,,,,,,,,,,,,,,,,,,
21,城郊光伏站,S1,光伏,0.0,0.0,,,,,,,,,,,,,,,,,,
22,金陵电厂,G1,火电,120.0,187.0,90.0,257.0,60.0,332.0,,,,,,,,,,,,,,
22,江北电厂,G2,火电,101.2,207.0,73.6,277.0,50.6,352.0,,,,,,,,,,,,,,
22,沿海风电场,W1,风电,53.4,0.0,,,,,,,,,,,,,,,,,,
22,城郊光伏站,S1,光伏,0.0,0.0,,,,,,,,,,,,,,,,,,
23,金陵电厂,G1,火电,120.0,185.2,90.0,255.2,60.0,330.2,,,,,,,,,,,,,,
23,江北电厂,G2,火电,101.2,205.2,73.6,275.2,50.6,350.2,,,,,,,,,,,,,,
23,沿海风电场,W1,风电,51.6,0.0,,,,,,,,,,,,,,,,,,
23,城郊光伏站,S1,光伏,0.0,0.0,,,,,,,,,,,,,,,,,,
24,金陵电厂,G1,火电,120.0,183.4,90.0,253.4,60.0,328.4,,,,,,,,,,,,,,
24,江北电厂,G2,火电,101.2,203.4,73.6,273.4,50.6,348.4,,,,,,,,,,,,,,
24,沿海风电场,W1,风电,54.1,0.0,,,,,,,,,,,,,,,,,,
24,城郊光伏站,S1,光伏,0.0,0.0,,,,,,,,,,,,,,,,,,
