period,时刻,机组编号,机组名称,机组类型,可用出力(MW)
77,19:00,W1,沿海风电场,风电,67.6
77,19:00,S1,城郊光伏站,光伏,0
78,19:15,W1,沿海风电场,风电,68.8
78,19:15,S1,城郊光伏站,光伏,0
79,19:30,W1,沿海风电场,风电,69.7
79,19:30,S1,城郊光伏站,光伏,0
80,19:45,W1,沿海风电场,风电,70.1
80,19:45,S1,城郊光伏站,光伏,0
81,20:00,W1,沿海风电场,风电,70.1
81,20:00,S1,城郊光伏站,光伏,0
82,20:15,W1,沿海风电场,风电,69.6
82,20:15,S1,城郊光伏站,光伏,0
83,20:30,W1,沿海风电场,风电,68.9
83,20:30,S1,城郊光伏站,光伏,0
84,20:45,W1,沿海风电场,风电,68.0
84,20:45,S1,城郊光伏站,光伏,0
85,21:00,W1,沿海风电场,风电,66.9
85,21:00,S1,城郊光伏站,光伏,0
86,21:15,W1,沿海风电场,风电,65.8
86,21:15,S1,城郊光伏站,光伏,0
87,21:30,W1,沿海风电场,风电,64.9
87,21:30,S1,城郊光伏站,光伏,0
88,21:45,W1,沿海风电场,风电,64.3
88,21:45,S1,城郊光伏站,光伏,0
89,22:00,W1,沿海风电场,风电,63.9
89,22:00,S1,城郊光伏站,光伏,0
90,22:15,W1,沿海风电场,风电,64.0
90,22:15,S1,城郊光伏站,光伏,0
91,22:30,W1,沿海风电场,风电,64.6
91,22:30,S1,城郊光伏站,光伏,0
92,22:45,W1,沿海风电场,风电,65.6
92,22:45,S1,城郊光伏站,光伏,0
93,23:00,W1,沿海风电场,风电,67.0
93,23:00,S1,城郊光伏站,光伏,0
94,23:15,W1,沿海风电场,风电,68.9
94,23:15,S1,城郊光伏站,光伏,0
95,23:30,W1,沿海风电场,风电,71.1
95,23:30,S1,城郊光伏站,光伏,0
96,23:45,W1,沿海风电场,风电,73.5
96,23:45,S1,城郊光伏站,光伏,0
