period,用户名称,用户编号,P1(MW),C1(元/MWh),P2(MW),C2(元/MWh),P3(MW),C3(元/MWh),P4(MW),C4(元/MWh),P5(MW),C5(元/MWh),P6(MW),C6(元/MWh),P7(MW),C7(元/MWh),P8(MW),C8(元/MWh),P9(MW),C9(元/MWh),P10(MW),C10(元/MWh)
20,一号线缆厂,U1,83.8,503.8,65.8,383.8,,,,,,,,,,,,,,,,
20,二号钢厂,U2,95.0,473.8,81.0,333.8,,,,,,,,,,,,,,,,
20,三号商业用户,U3,57.2,433.8,57.2,283.8,,,,,,,,,,,,,,,,
21,一号线缆厂,U1,79.2,502.9,62.2,382.9,,,,,,,,,,,,,,,,
21,二号钢厂,U2,89.9,472.9,76.5,332.9,,,,,,,,,,,,,,,,
21,三号商业用户,U3,54.1,432.9,54.1,282.9,,,,,,,,,,,,,,,,
22,一号线缆厂,U1,73.1,501.6,57.4,381.6,,,,,,,,,,,,,,,,
22,二号钢厂,U2,82.9,471.6,70.7,331.6,,,,,,,,,,,,,,,,
22,三号商业用户,U3,49.9,431.6,49.9,281.6,,,,,,,,,,,,,,,,
23,一号线缆厂,U1,65.5,500.2,51.5,380.2,,,,,,,,,,,,,,,,
23,二号钢厂,U2,74.3,470.2,63.3,330.2,,,,,,,,,,,,,,,,
23,三号商业用户,U3,44.7,430.2,44.7,280.2,,,,,,,,,,,,,,,,
24,一号线缆厂,U1,57.9,498.7,45.5,378.7,,,,,,,,,,,,,,,,
24,二号钢厂,U2,65.7,468.7,55.9,328.7,,,,,,,,,,,,,,,,
24,三号商业用户,U3,39.5,428.7,39.5,278.7,,,,,,,,,,,,,,,,
