period,用户名称,用户编号,P1(MW),C1(元/MWh),P2(MW),C2(元/MWh),P3(MW),C3(元/MWh),P4(MW),C4(元/MWh),P5(MW),C5(元/MWh),P6(MW),C6(元/MWh),P7(MW),C7(元/MWh),P8(MW),C8(元/MWh),P9(MW),C9(元/MWh),P10(MW),C10(元/MWh)
84,二号钢厂,U2,110.2,471.5,93.8,331.5,,,,,,,,,,,,,,,,
84,三号商业用户,U3,66.3,431.5,66.3,281.5,,,,,,,,,,,,,,,,
85,一号线缆厂,U1,95.2,501.2,74.8,381.2,,,,,,,,,,,,,,,,
85,二号钢厂,U2,108.0,471.2,92.0,331.2,,,,,,,,,,,,,,,,
85,三号商业用户,U3,65.0,431.2,65.0,281.2,,,,,,,,,,,,,,,,
86,一号线缆厂,U1,92.8,500.9,73.0,380.9,,,,,,,,,,,,,,,,
86,二号钢厂,U2,105.3,470.9,89.7,330.9,,,,,,,,,,,,,,,,
86,三号商业用户,U3,63.4,430.9,63.3,280.9,,,,,,,,,,,,,,,,
87,一号线缆厂,U1,90.4,500.6,71.1,380.6,,,,,,,,,,,,,,,,
87,二号钢厂,U2,102.6,470.6,87.4,330.6,,,,,,,,,,,,,,,,
87,三号商业用户,U3,61.8,430.6,61.7,280.6,,,,,,,,,,,,,,,,
88,一号线缆厂,U1,88.0,500.3,69.2,380.3,,,,,,,,,,,,,,,,
88,二号钢厂,U2,99.9,470.3,85.1,330.3,,,,,,,,,,,,,,,,
88,三号商业用户,U3,60.1,430.3,60.2,280.3,,,,,,,,,,,,,,,,
89,一号线缆厂,U1,85.7,500.0,67.3,380.0,,,,,,,,,,,,,,,,
89,二号钢厂,U2,97.2,470.0,82.8,330.0,,,,,,,,,,,,,,,,
89,三号商业用户,U3,58.5,430.0,58.5,280.0,,,,,,,,,,,,,,,,
90,一号线缆厂,U1,83.3,499.7,65.5,379.7,,,,,,,,,,,,,,,,
90,二号钢厂,U2,94.5,469.7,80.5,329.7,,,,,,,,,,,,,,,,
90,三号商业用户,U3,56.9,429.7,56.8,279.7,,,,,,,,,,,,,,,,
91,一号线缆厂,U1,80.9,499.4,63.6,379.4,,,,,,,,,,,,,,,,
91,二号钢厂,U2,91.8,469.4,78.2,329.4,,,,,,,,,,,,,,,,
91,三号商业用户,U3,55.2,429.4,55.3,279.4,,,,,,,,,,,,,,,,
92,一号线缆厂,U1,78.5,499.1,61.7,379.1,,,,,,,,,,,,,,,,
92,二号钢厂,U2,89.1,469.1,75.9,329.1,,,,,,,,,,,,,,,,
92,三号商业用户,U3,53.6,429.1,53.7,279.1,,,,,,,,,,,,,,,,
93,一号线缆厂,U1,76.2,498.8,59.8,378.8,,,,,,,,,,,,,,,,
93,二号钢厂,U2,86.4,468.8,73.6,328.8,,,,,,,,,,,,,,,,
93,三号商业用户,U3,52.0,428.8,52.0,278.8,,,,,,,,,,,,,,,,
94,一号线缆厂,U1,74.3,498.5,58.3,378.5,,,,,,,,,,,,,,,,
94,二号钢厂,U2,84.2,468.5,71.8,328.5,,,,,,,,,,,,,,,,
94,三号商业用户,U3,50.7,428.5,50.7,278.5,,,,,,,,,,,,,,,,
95,一号线缆厂,U1,72.4,498.2,56.8,378.2,,,,,,,,,,,,,,,,
95,二号钢厂,U2,82.1,468.2,69.9,328.2,,,,,,,,,,,,,,,,
95,三号商业用户,U3,49.4,428.2,49.4,278.2,,,,,,,,,,,,,,,,
96,一号线缆厂,U1,70.4,498.0,55.4,378.0,,,,,,,,,,,,,,,,
96,二号钢厂,U2,79.9,468.0,68.1,328.0,,,,,,,,,,,,,,,,
96,三号商业用户,U3,48.1,428.0,48.1,278.0,,,,,,,,,,,,,,,,
