机组ID,机组类型,时段,出力(MW)
W1,风电,95,42.9
W1,风电,96,44.3
W2,风电,1,50.1
W2,风电,2,50.7
W2,风电,3,51.2
W2,风电,4,51.5
W2,风电,5,51.7
W2,风电,6,51.8
W2,风电,7,51.8
W2,风电,8,51.7
W2,风电,9,51.4
W2,风电,10,51.1
W2,风电,11,50.6
W2,风电,12,50.0
W2,风电,13,49.3
W2,风电,14,48.6
W2,风电,15,47.8
W2,风电,16,46.9
W2,风电,17,45.9
W2,风电,18,44.9
W2,风电,19,43.9
W2,风电,20,42.9
W2,风电,21,41.9
W2,风电,22,40.9
W2,风电,23,39.9
W2,风电,24,39.0
W2,风电,25,38.1
W2,风电,26,37.3
W2,风电,27,36.5
W2,风电,28,35.8
W2,风电,29,35.1
W2,风电,30,34.6
W2,风电,31,34.1
W2,风电,32,33.7
W2,风电,33,33.3
W2,风电,34,33.1
W2,风电,35,32.9
W2,风电,36,32.8
W2,风电,37,32.8
W2,风电,38,32.8
W2,风电,39,32.8
W2,风电,40,32.9
W2,风电,41,33.1
W2,风电,42,33.2
W2,风电,43,33.4
W2,风电,44,33.6
W2,风电,45,33.8
W2,风电,46,33.9
W2,风电,47,34.1
W2,风电,48,34.2
W2,风电,49,34.3
W2,风电,50,34.4
W2,风电,51,34.4
W2,风电,52,34.3
W2,风电,53,34.2
W2,风电,54,34.1
W2,风电,55,33.9
W2,风电,56,33.7
W2,风电,57,33.4
W2,风电,58,33.1
W2,风电,59,32.8
W2,风电,60,32.4
W2,风电,61,32.1
W2,风电,62,31.7
W2,风电,63,31.3
W2,风电,64,30.9
W2,风电,65,30.6
W2,风电,66,30.2
W2,风电,67,29.9
W2,风电,68,29.7
W2,风电,69,29.5
W2,风电,70,29.4
W2,风电,71,29.3
W2,风电,72,29.4
W2,风电,73,29.5
W2,风电,74,29.7
W2,风电,75,30.0
W2,风电,76,30.4
W2,风电,77,30.9
W2,风电,78,31.5
W2,风电,79,32.2
W2,风电,80,32.9
W2,风电,81,33.8
W2,风电,82,34.7
W2,风电,83,35.7
W2,风电,84,36.7
W2,风电,85,37.8
W2,风电,86,39.0
W2,风电,87,40.1
W2,风电,88,41.3
W2,风电,89,42.4
W2,风电,90,43.6
W2,风电,91,44.7
W2,风电,92,45.8
W2,风电,93,46.8
W2,风电,94,47.8
W2,风电,95,48.6
W2,风电,96,49.4
S1,光伏,1,0.0
S1,光伏,2,0.0
S1,光伏,3,0.0
S1,光伏,4,0.0
S1,光伏,5,0.0
S1,光伏,6,0.0
S1,光伏,7,0.0
S1,光伏,8,0.0
S1,光伏,9,0.0
S1,光伏,10,0.0
S1,光伏,11,0.0
S1,光伏,12,0.0
S1,光伏,13,0.0
S1,光伏,14,0.0
S1,光伏,15,0.0
S1,光伏,16,0.0
S1,光伏,17,0.0
S1,光伏,18,0.0
S1,光伏,19,0.0
S1,光伏,20,0.0
S1,光伏,21,0.0
S1,光伏,22,0.0
S1,光伏,23,0.0
S1,光伏,24,0.0
S1,光伏,25,3.3
S1,光伏,26,6.5
S1,光伏,27,9.8
S1,光伏,28,12.9
S1,光伏,29,16.1
S1,光伏,30,19.1
S1,光伏,31,22.1
S1,光伏,32,25.0
S1,光伏,33,27.8
S1,光伏,34,30.4
S1,光伏,35,33.0
S1,光伏,36,35.4
S1,光伏,37,37.6
S1,光伏,38,39.7
S1,光伏,39,41.6
S1,光伏,40,43.3
S1,光伏,41,44.8
S1,光伏,42,46.2
S1,光伏,43,47.3
S1,光伏,44,48.3
S1,光伏,45,49.0
S1,光伏,46,49.6
S1,光伏,47,49.9
S1,光伏,48,50.0
S1,光伏,49,49.9
S1,光伏,50,49.6
S1,光伏,51,49.0
S1,光伏,52,48.3
S1,光伏,53,47.3
S1,光伏,54,46.2
S1,光伏,55,44.8
S1,光伏,56,43.3
S1,光伏,57,41.6
S1,光伏,58,39.7
S1,光伏,59,37.6
S1,光伏,60,35.4
S1,光伏,61,33.0
S1,光伏,62,30.4
S1,光伏,63,27.8
S1,光伏,64,25.0
S1,光伏,65,22.1
S1,光伏,66,19.1
S1,光伏,67,16.1
S1,光伏,68,12.9
S1,光伏,69,9.8
S1,光伏,70,6.5
S1,光伏,71,3.3
S1,光伏,72,0.0
S1,光伏,73,0.0
S1,光伏,74,0.0
S1,光伏,75,0.0
S1,光伏,76,0.0
S1,光伏,77,0.0
S1,光伏,78,0.0
S1,光伏,79,0.0
S1,光伏,80,0.0
S1,光伏,81,0.0
S1,光伏,82,0.0
S1,光伏,83,0.0
S1,光伏,84,0.0
S1,光伏,85,0.0
S1,光伏,86,0.0
S1,光伏,87,0.0
S1,光伏,88,0.0
S1,光伏,89,0.0
S1,光伏,90,0.0
S1,光伏,91,0.0
S1,光伏,92,0.0
S1,光伏,93,0.0
S1,光伏,94,0.0
S1,光伏,95,0.0
S1,光伏,96,0.0
