时段,时刻,负荷(MW),平均负荷(MW),缩放比例,缩放比例(%),与均值偏差(MW)
44,11:00,889.4,894.8958,0.9939,99.39%,-5.50
45,11:15,877.4,894.8958,0.9804,98.04%,-17.50
46,11:30,868.1,894.8958,0.9701,97.01%,-26.80
47,11:45,861.1,894.8958,0.9622,96.22%,-33.80
48,12:00,856.2,894.8958,0.9568,95.68%,-38.70
49,12:15,852.8,894.8958,0.9530,95.30%,-42.10
50,12:30,850.6,894.8958,0.9505,95.05%,-44.30
51,12:45,849.4,894.8958,0.9492,94.92%,-45.50
52,13:00,848.8,894.8958,0.9485,94.85%,-46.10
53,13:15,848.8,894.8958,0.9485,94.85%,-46.10
54,13:30,849.3,894.8958,0.9490,94.90%,-45.60
55,13:45,850.4,894.8958,0.9503,95.03%,-44.50
56,14:00,852.3,894.8958,0.9524,95.24%,-42.60
57,14:15,855.1,894.8958,0.9555,95.55%,-39.80
58,14:30,859.2,894.8958,0.9601,96.01%,-35.70
59,14:45,864.8,894.8958,0.9664,96.64%,-30.10
60,15:00,872.2,894.8958,0.9746,97.46%,-22.70
61,15:15,881.9,894.8958,0.9855,98.55%,-13.00
62,15:30,893.9,894.8958,0.9989,99.89%,-1.00
63,15:45,908.4,894.8958,1.0151,101.51%,13.50
64,16:00,925.6,894.8958,1.0343,103.43%,30.70
65,16:15,945.1,894.8958,1.0561,105.61%,50.20
66,16:30,966.8,894.8958,1.0803,108.03%,71.90
67,16:45,990.2,894.8958,1.1065,110.65%,95.30
68,17:00,1014.5,894.8958,1.1337,113.37%,119.60
69,17:15,1039.0,894.8958,1.1610,116.10%,144.10
70,17:30,1062.8,894.8958,1.1876,118.76%,167.90
71,17:45,1084.8,894.8958,1.2122,121.22%,189.90
72,18:00,1104.0,894.8958,1.2337,123.37%,209.10
73,18:15,1119.4,894.8958,1.2509,125.09%,224.50
74,18:30,1130.2,894.8958,1.2629,126.29%,235.30
75,18:45,1135.8,894.8958,1.2692,126.92%,240.90
76,19:00,1135.7,894.8958,1.2691,126.91%,240.80
77,19:15,1129.7,894.8958,1.2624,126.24%,234.80
78,19:30,1118.1,894.8958,1.2494,124.94%,223.20
79,19:45,1101.2,894.8958,1.2305,123.05%,206.30
80,20:00,1079.6,894.8958,1.2064,120.64%,184.70
81,20:15,1054.1,894.8958,1.1779,117.79%,159.20
82,20:30,1025.9,894.8958,1.1464,114.64%,131.00
83,20:45,995.8,894.8958,1.1128,111.28%,100.90
84,21:00,964.9,894.8958,1.0782,107.82%,70.00
85,21:15,934.1,894.8958,1.0438,104.38%,39.20
86,21:30,904.4,894.8958,1.0106,101.06%,9.50
87,21:45,876.3,894.8958,0.9792,97.92%,-18.60
88,22:00,850.5,894.8958,0.9504,95.04%,-44.40
89,22:15,827.3,894.8958,0.9245,92.45%,-67.60
90,22:30,806.9,894.8958,0.9017,90.17%,-88.00
91,22:45,789.3,894.8958,0.8820,88.20%,-105.60
92,23:00,774.4,894.8958,0.8654,86.54%,-120.50
93,23:15,762.0,894.8958,0.8515,85.15%,-132.90
94,23:30,752.0,894.8958,0.8403,84.03%,-142.90
95,23:45,744.0,894.8958,0.8314,83.14%,-150.90
96,24:00,737.7,894.8958,0.8243,82.43%,-157.20
